0.9542007517	65 153
0.9483323465	43 1232
0.9467276070	136 14
0.9451345981	340 26
0.9407125247	136 52
0.9396774758	279 140
0.9391895562	42 216
0.9368071639	43 937
0.9363528409	244 246
0.9352099984	14 119
0.9352034323	154 153
0.9335051160	14 26
0.9329867695	2098 2099
0.9294614461	136 86
0.9277360842	43 81
0.9272009916	43 1084
0.9271334509	43 255
0.9267737266	154 168
0.9250158718	256 259
0.9240189003	91 292
0.9222215898	238 59
0.9220879708	149 106
0.9210178202	331 153
0.9192261166	292 154
0.9187419136	43 26
0.9162134751	1354 853
0.9152411588	43 1302
0.9149238832	236 386
0.9143375056	43 1587
0.9117178938	275 277 279
0.9101487879	369 23
0.9095060521	42 2186
0.9082569874	118 14
0.9075419464	3051 785
0.9052041472	3 46 154
0.9049416073	223 225
0.9048280624	3224 86
0.9031648125	3 46
0.9031106414	14 26 23
0.9018736287	994 2722
0.8993940269	331 153 78
0.8961099802	603 153
0.8959467412	1161 279
0.8910826127	14 23
0.8908589912	42 55
0.8890632347	1035 7602
0.8865426184	22 78
0.8858714201	1036 1052
0.8855932840	42 603
0.8834164507	214 764
0.8790167621	184 1136
0.8740603243	5774 1466
0.8737612760	5774 1035
0.8686572067	3387 3194
0.8678623072	96 344
0.8669469571	173 213
0.8646835315	2227 1829
0.8643146185	42 23
0.8622722000	1461 1463
0.8596106374	65 78
0.8587184839	1035 588
0.8573141844	43 1991
0.8558598545	2355 5774 1466
0.8546302446	2426 1466
0.8528885455	1977 2048
0.8510300240	5774 1035 7602
0.8485721784	40 52
0.8482908325	26 23
0.8478727722	7489 2048
0.8459008000	238 37
0.8437568615	340 3194
0.8426127954	2355 12
0.8424523287	312 3182
0.8412406303	2341 1829
0.8394457742	6490 1421
0.8385066252	2138 42
0.8372712900	1039 588
0.8360816462	43 404
0.8346089012	65 379
0.8343640171	277 279
0.8341981945	1826 1827
0.8317516218	292 1274
0.8315214955	6490 1865
0.8284623460	293 143
0.8283577692	46 14
0.8268636473	3 136
0.8262710130	1766 407
0.8225317890	12 1390
0.8171773287	127 129
0.8168615950	340 145
0.8153578946	6490 8453
0.8145785704	490 81
0.8134055957	683 702
0.8097607611	1945 832
0.8086403858	3089 8327
0.8078470381	1128 52
0.8058957955	3182 825
0.8039604638	293 1084
0.8018764229	43 461
0.7997483098	3738 107
0.7994502642	2464 145
0.7988633245	1781 2692
0.7983938967	293 1014
0.7975712103	2355 1931
0.7960539740	71 23
0.7954050582	2400 4111
0.7949221036	5774 43
0.7944670694	306 209
0.7910826211	811 279 1537
0.7896000043	3 46 52
0.7892551010	512 875
0.7885385031	1766 145
0.7883115984	230 231
0.7869077650	344 199
0.7838508027	5340 7407
0.7829598964	7897 1971
0.7826834562	901 905
0.7809605691	145 243
0.7803547339	740 701
0.7790478563	3075 145
0.7727388556	1041 12
0.7721342785	1781 762
0.7675675813	1035 145
0.7634494783	46 154
0.7619866108	1041 982
0.7586260490	1781 1202
0.7560643605	206 209
0.7547812978	912 145
0.7506490079	2311 145
0.7505356052	1349 71
0.7491149930	1041 627
0.7485259052	2355 5774
0.7463226998	1041 912
0.7344931600	1004 466
0.7329205115	293 982
0.7298283941	418 47 419
0.7259923602	568 275
0.7247134621	279 145
0.7209243187	279 1537
0.7078840286	34 2722
0.6909911590	3154 7897
0.6827901902	11 45 45
0.6643302718	207
0.6545315798	419
0.6523027685	8327
0.6523027685	7407
0.6523027685	1302
0.6520798214	2227
0.6516027685	2098
0.6511209314	244
0.6502527669	2232
0.6493368213	1638 123 145
0.6488634678	943
0.6478787981	958
0.6478787981	306
0.6473379877	2099
0.6443077371	789
0.6440268846	3083
0.6436029707	548
0.6435062742	8000
0.6424341324	5774
0.6421061081	7720
0.6416242849	3276
0.6401524556	2364
0.6394386971	6025
0.6391705471	256
0.6381601970	293
